"varname","shortdesc","shrtname","longname","version","shrtcite","longcite","url"
"gwgroupid","Unique ID of ethnic group","EPR","Ethnic Power-Relations Dataset","v2018","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"year","Year of observation (Group-Level)","NA","Not Applicable","NA","NA","NA","NA"
"groupname","Name of ethnic group","EPR","Ethnic Power-Relations Dataset","v2018","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"countries_gwid","Unique GW ID of country","GW","Gleditsch and Ward Interstate System Membership","v5","Gleditsch and Ward (1999)","Gleditsch, K. S. and M. D. Ward (1999). Interstate System Membership: A Revised List of the Independent States since 1816. International Interactions 25 (4).","http://privatewww.essex.ac.uk/~ksg/statelist.html"
"countryname","Name of country","GW","Gleditsch and Ward Interstate System Membership","v5","Gleditsch and Ward (1999)","Gleditsch, K. S. and M. D. Ward (1999). Interstate System Membership: A Revised List of the Independent States since 1816. International Interactions 25 (4).","http://privatewww.essex.ac.uk/~ksg/statelist.html"
"isactive","Binary flag indicating whether group is physically present in a country and not represented by active ancestor or descendant groups","EPR","Ethnic Power-Relations Dataset","v2018","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"isrelevant","Binary flag indicating whether group is politically relevant","EPR","Ethnic Power-Relations Dataset","v2018","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"groupsize","This group's population size as a fraction of the country's total population","EPR","Ethnic Power-Relations Dataset","v2018","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"statusid","ID indicating this group's political status","EPR","Ethnic Power-Relations Dataset","v2018","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
"statusname","Name of the corresponding value on StatusID","EPR","Ethnic Power-Relations Dataset","v2018","Vogt et al. (2015)","Vogt, M., N.-C. Bormann, S. Ruegger, L.-E. Cederman, P. Hunziker, and L. Girardin. (2015). Integrating Data on Ethnicity, Geography, and Conflict: The Ethnic Power Relations Dataset Family. Journal of Conflict Resolution 59 (7).","http://www.icr.ethz.ch/data"
